,location,restaurant_name,cuisine,address,postal_code,average_cost,additional_info,rating,rating_category,lon,lat
30, UPPER EAST SIDE,Le Bilboquet, Cajun,"20 E 60th Street, New York, NY 10021",NY 10021,80,"['Wine and Beer', 'Serves Cocktails', 'Outdoor Seating']",3.7,average,-73.970589,40.763807
31,UPPER EAST SIDE,Candle 79,American,"154 E 79th Street, New York, NY 10021",NY 10021,75,"['Beer', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options', 'Farm-to-Table']",4.1,good,-73.9587231,40.7746521
32,LOWER EAST SIDE,Katz's Delicatessen,Sandwich,"205 East Houston Street, New York, NY 10002",NY 10002,30,"['Breakfast', 'Takeout Available', 'Wine and Beer', 'Kosher']",4.9,excellent,-73.9875029,40.7222166
33,LOWER EAST SIDE,Ajisen Ramen,Japanese,"14 Mott Street, New York, NY 10013",NY 10013,30,"['Takeout Available', 'Serves Alcohol']",3.6,average,-73.9985052,40.7141563
34,GRAMERCY-FLATIRON,230 Fifth,BarFood,"230 5th Avenue, New York, NY 10001",NY 10001,120,"['Full Bar Available', 'Nightlife']",3.7,average,-73.9884259,40.7441382
35,FORT GREENE,Olea,Mediterranean,"171 Lafayette Avenue, Brooklyn, NY 11238",NY 11238,80,"['Breakfast', 'Takeout Available', 'Serves Alcohol', 'Outdoor Seating', 'Wifi', 'Vegetarian Friendly']",4.2,good,-73.970614,40.6878149
36,FORT GREENE,Olea, Tapas,"171 Lafayette Avenue, Brooklyn, NY 11238",NY 11238,80,"['Breakfast', 'Takeout Available', 'Serves Alcohol', 'Outdoor Seating', 'Wifi', 'Vegetarian Friendly']",4.2,good,-73.970614,40.6878149
37,LOWER EAST SIDE,Rubirosa,Italian,"235 Mulberry Street, New York, NY 10012",NY 10012,85,"['Delivery', 'Takeout Available', 'Full Bar Available', 'Lunch Menu', 'Gluten Free Options']",4,good,-73.9962332,40.7227528
38,LOWER EAST SIDE,Rubirosa,Italian,"235 Mulberry Street, New York, NY 10012",NY 10012,85,"['Delivery', 'Takeout Available', 'Full Bar Available', 'Lunch Menu', 'Gluten Free Options']",4,good,-73.9962332,40.7227528
39,MIDTOWN,La Grenouille,French,"3 E 52nd Street, New York, NY 10022",NY 10022,250,"['Takeout Available', 'Serves Alcohol', 'Wifi', 'Lunch Menu']",3.9,average,-73.9755707,40.7596796
40,GRAMERCY,Miss Korea BBQ,Korean,"10 W 32nd Street, New York, NY 10001",NY 10001,60,"['Takeout Available', 'Full Bar Available', 'Serves Cocktails']",3.8,average,-73.9864501,40.7473402
41,GRAMERCY,Miss Korea BBQ, BBQ,"10 W 32nd Street, New York, NY 10001",NY 10001,60,"['Takeout Available', 'Full Bar Available', 'Serves Cocktails']",3.8,average,-73.9864501,40.7473402
